,city_state_country
0,"Washington D.C., DC, USA"
1,"OCEANSIDE, CA, USA"
2,"St. George, UT, USA"
3,"Narberth, PA, USA"
4,"OAKLAND, CA, USA"
5,"CHULA VISTA, CA, USA"
6,"Goodyear, AZ, USA"
7,"Templeton, MA, USA"
8,"Phoenix, AZ, USA"
9,"Clintondale, NY, USA"
10,"SANTA PAULA, CA, USA"
11,"Troy, NY, USA"
12,"Macedon, NY, USA"
13,"Carlisle, PA, USA"
14,"OAKDALE, CA, USA"
15,"Scituate, MA, USA"
16,"San Luis, AZ, USA"
17,"WINCHESTER, CA, USA"
18,"San Antonio, TX, USA"
19,"Mesa, AZ, USA"
20,"Worcester, MA, USA"
21,"CORAL SPRINGS, FL, USA"
22,"CLOVIS, CA, USA"
23,"Milton, NH, USA"
24,"NAPA, CA, USA"
25,"SAN DIEGO, CA, USA"
26,"Peoria, AZ, USA"
27,"Hadlyme, CT, USA"
28,"Surprise, AZ, USA"
29,"Franklin Square, NY, USA"
30,"GRANADA HILLS, CA, USA"
31,"ESCONDIDO, CA, USA"
32,"Paulden, AZ, USA"
33,"Woburn, MA, USA"
34,"Freetown, MA, USA"
35,"New Hampton, NY, USA"
36,"RIALTO, CA, USA"
37,"Needham, MA, USA"
38,"Indio, CA, USA"
39,"Sandy, UT, USA"
40,"Westport, MA, USA"
41,"Madison, WI, USA"
42,"IRVINE, CA, USA"
43,"Clinton, MA, USA"
44,"New Bedford, MA, USA"
45,"Bronx, NY, USA"
46,"Cottonwood, AZ, USA"
47,"Wantagh, NY, USA"
48,"VISTA, CA, USA"
49,"MILLBRAE, CA, USA"
50,"Plainview, NY, USA"
51,"FAIRFIELD, CA, USA"
52,"SAN BRUNO, CA, USA"
53,"Las Cruces, NM, USA"
54,"Shoreline, WA, USA"
55,"Albany, NY, USA"
56,"Canoga Park, CA, USA"
57,"Seymour, CT, USA"
58,"Layton, UT, USA"
59,"Litchfield Park, AZ, USA"
60,"West Haven, CT, USA"
61,"Buckeye, AZ, USA"
62,"Orleans, MA, USA"
63,"Watertown, CT, USA"
64,"ENCINO, CA, USA"
65,"Granby, MA, USA"
66,"Washingtonville, NY, USA"
67,"Sun City, AZ, USA"
68,"Leicester, VT, USA"
69,"MENLO PARK, CA, USA"
70,"Pacoima, CA, USA"
71,"TEMECULA, CA, USA"
72,"Van Nuys, CA, USA"
73,"Huntington, NY, USA"
74,"East Amherst, NY, USA"
75,"Cohoes, NY, USA"
76,"Islip Terrace, NY, USA"
77,"Perry, UT, USA"
78,"Willimantic, CT, USA"
79,"Stoughton, MA, USA"
80,"Tyringham, MA, USA"
81,"Oxford, CT, USA"
82,"BERKELEY, CA, USA"
83,"BARSTOW, CA, USA"
84,"West Valley City, UT, USA"
85,"New River, AZ, USA"
86,"Avondale, AZ, USA"
87,"Williamsburg, MA, USA"
88,"Clifton Park, NY, USA"
89,"Southington, CT, USA"
90,"FRESNO, CA, USA"
91,"Ossining, NY, USA"
92,"Dracut, MA, USA"
93,"Middletown, NY, USA"
94,"Paradise Valley, AZ, USA"
95,"Bristol, CT, USA"
96,"Norton, MA, USA"
97,"Warren, VT, USA"
98,"Valley Cottage, NY, USA"
99,"Saratoga Springs, NY, USA"
100,"MIDDLETOWN, NY, USA"
101,"LINCOLN, CA, USA"
102,"Prescott, AZ, USA"
103,"SANTA ROSA, CA, USA"
104,"New York, NY, USA"
105,"Becker, MN, USA"
106,"Fall River, MA, USA"
107,"Lenhartsville, PA, USA"
108,"Stamford, CT, USA"
109,"West Jordan, UT, USA"
110,"Boston, MA, USA"
111,"Westborough, MA, USA"
112,"UNION CITY, CA, USA"
113,"Waddell, AZ, USA"
114,"SANTA CRUZ, CA, USA"
115,"Delta, UT, USA"
116,"Amherst, MA, USA"
117,"Springfield, MA, USA"
118,"Baraboo, WI, USA"
119,"SANTA MONICA, CA, USA"
120,"Jurupa Valley, CA, USA"
121,"Framingham, MA, USA"
122,"Berlin, CT, USA"
123,"Massapequa, NY, USA"
124,"Beverly, MA, USA"
125,"Methuen, MA, USA"
126,"Tempe, AZ, USA"
127,"BEAUMONT, CA, USA"
128,"Millis, MA, USA"
129,"Sun City West, AZ, USA"
130,"Yuma, AZ, USA"
131,"brooklyn, NY, USA"
132,"Halifax, PA, USA"
133,"BUENA PARK, CA, USA"
134,"CALABASAS, CA, USA"
135,"KINGSBURG, CA, USA"
136,"WEST COVINA, CA, USA"
137,"Quincy, MA, USA"
138,"Los Angeles, CA, USA"
139,"Bridgeport, CT, USA"
140,"Randolph, MA, USA"
141,"Scottsdale, AZ, USA"
142,"Wingdale, NY, USA"
143,"BAKERSFIELD, CA, USA"
144,"EL CAJON, CA, USA"
145,"PALO VERDE, CA, USA"
146,"Milton, MA, USA"
147,"Staten Island, NY, USA"
148,"Raymond, NH, USA"
149,"Halifax, MA, USA"
150,"Tujunga, CA, USA"
151,"Leominster, MA, USA"
152,"Houghton, NY, USA"
153,"NATIONAL CITY, CA, USA"
154,"MOAB, UT, USA"
155,"Hyde Park, UT, USA"
156,"Preston, CT, USA"
157,"New Britain, CT, USA"
158,"Edgartown, MA, USA"
159,"New Windsor, NY, USA"
160,"Melrose, MA, USA"
161,"Ashburnham, MA, USA"
162,"East Syracuse, NY, USA"
163,"Greenlawn, NY, USA"
164,"SARATOGA SPRINGS, NY, USA"
165,"Anthem, AZ, USA"
166,"Dartmouth, MA, USA"
167,"Manchester, CT, USA"
168,"Farmington, UT, USA"
169,"Enfield, CT, USA"
170,"CHICO, CA, USA"
171,"Queens, NY, USA"
172,"Pomona, NY, USA"
173,"Encino, CA, USA"
174,"Arlington, MA, USA"
175,"ANTIOCH, CA, USA"
176,"Bedford, MA, USA"
177,"Pittsfield, MA, USA"
178,"Rye, NY, USA"
179,"Philadelphia, PA, USA"
180,"Tappan, NY, USA"
181,"MANTECA, CA, USA"
182,"Muncy, PA, USA"
183,"Crandon, WI, USA"
184,"Casa Grande, AZ, USA"
185,"Somerton, AZ, USA"
186,"El Mirage, AZ, USA"
187,"OROVILLE, CA, USA"
188,"Camp Verde, AZ, USA"
189,"Stockbridge, MA, USA"
190,"Ronkonkoma, NY, USA"
191,"Naugatuck, CT, USA"
192,"Sudbury, MA, USA"
193,"Hopkinton, MA, USA"
194,"Saint Albans, NY, USA"
195,"Ludlow, MA, USA"
196,"Charlton, MA, USA"
197,"MURRIETA, CA, USA"
198,"Brooklyn, NY, USA"
199,"BRENTWOOD, CA, USA"
200,"Flushing, NY, USA"
201,"PALM SPRINGS, CA, USA"
202,"West Newbury, MA, USA"
203,"Lawrence, MA, USA"
204,"TORRANCE, CA, USA"
205,"HESPERIA, CA, USA"
206,"ST PETERSBURG, FL, USA"
207,"Oakville, CT, USA"
208,"POMONA, CA, USA"
209,"CLINTON, UT, USA"
210,"Yonkers, NY, USA"
211,"Granada Hills, CA, USA"
212,"Seattle, WA, USA"
213,"West Hills, CA, USA"
214,"West Carthage, NY, USA"
215,"Woods Cross, UT, USA"
216,"ogden, UT, USA"
217,"STUDIO CITY, CA, USA"
218,"Harrisville, UT, USA"
219,"Somerset, MA, USA"
220,"East Meadow, NY, USA"
221,"Etna, NH, USA"
222,"Falmouth, MA, USA"
223,"Lititz, PA, USA"
